+-----------+------+--------+-------+-----------+
| series id | year | period | value | footnotes |
|   WPSFD4  | 2010 |  M12   | 103.1 |           |
|   WPSFD4  | 2010 |  M11   | 102.8 |           |
|   WPSFD4  | 2010 |  M10   | 102.5 |           |
|   WPSFD4  | 2010 |  M09   | 102.1 |           |
|   WPSFD4  | 2010 |  M08   | 101.8 |           |
|   WPSFD4  | 2010 |  M07   | 101.6 |           |
|   WPSFD4  | 2010 |  M06   | 101.4 |           |
|   WPSFD4  | 2010 |  M05   | 101.6 |           |
|   WPSFD4  | 2010 |  M04   | 101.4 |           |
|   WPSFD4  | 2010 |  M03   | 101.1 |           |
|   WPSFD4  | 2010 |  M02   | 101.0 |           |
|   WPSFD4  | 2010 |  M01   | 101.2 |           |
|   WPSFD4  | 2009 |  M12   | 100.3 |           |
|   WPSFD4  | 2009 |  M11   | 100.2 |           |
+-----------+------+--------+-------+-----------+
